ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2017-03-01|19:28:10|Mkn501-20170301@192810-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.2884|1010.0931|R_30508|2457814.311226852|180.0|21.1503|2.9035|2862m|1.2588
2|2017-03-01|19:31:20|Mkn501-20170301@193120-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.2573|1011.1401|R_30508|2457814.313425926|180.0|21.1548|2.7424|2862m|1.2488
3|2017-03-15|19:10:55|Mkn501-20170315@191055-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.5147|1004.1770|R_30508|2457828.2992476854|180.0|21.0387|2.1540|2862m|1.1605
4|2017-03-15|19:14:06|Mkn501-20170315@191406-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.3752|1005.8421|R_30508|2457828.301458333|180.0|20.7032|2.2997|2862m|1.1538
5|2017-03-17|16:18:21|Mkn501-20170317@161820-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1012.4298|1010.9258|R_30508|2457830.1794097223|180.0|19.8110|3.1337|2862m|2.1061
6|2017-03-17|16:21:32|Mkn501-20170317@162131-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1014.3881|1015.9626|R_30508|2457830.1816203706|180.0|19.1477|2.8221|2862m|2.0653
7|2017-03-20|16:15:04|Mkn501-20170320@161504-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1011.4412|1010.0258|R_30508|2457833.1771296295|180.0|20.9691|3.8327|2862m|2.0021
8|2017-03-20|16:18:14|Mkn501-20170320@161814-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1013.6889|1016.7139|R_30508|2457833.179328704|180.0|20.9781|3.5490|2862m|1.9656
9|2017-03-21|16:55:19|Mkn501-20170321@165519-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1020.0720|1010.5583|R_30508|2457834.2050810186|180.0|21.1539|2.8913|2862m|1.6086
10|2017-03-21|16:58:30|Mkn501-20170321@165830-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1020.7244|1010.8000|R_30508|2457834.207291667|180.0|21.1634|2.6494|2862m|1.5869
11|2017-03-24|16:49:10|Mkn501-20170324@164910-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1021.2793|1010.1696|R_30508|2457837.200810185|180.0|20.9975|2.9085|2862m|1.5712
12|2017-03-24|16:52:22|Mkn501-20170324@165222-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1022.0937|1010.3930|R_30508|2457837.2030324074|180.0|21.0142|2.8187|2862m|1.5510
13|2017-03-27|19:16:48|Mkn501-20170327@191648-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1026.6476|1017.5272|R_30508|2457840.303333333|180.0|21.1452|2.5451|2862m|1.0775
14|2017-03-27|19:19:59|Mkn501-20170327@191959-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1026.1861|1020.6090|R_30508|2457840.3055439815|180.0|21.1432|2.4788|2862m|1.0742
15|2017-03-29|16:20:49|Mkn501-20170329@162049-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1017.1773|1009.7455|R_30508|2457842.1811226853|180.0|20.5067|2.5260|2862m|1.6296
16|2017-03-29|16:24:01|Mkn501-20170329@162400-R_30508_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1018.0002|1009.9431|R_30508|2457842.1833449076|180.0|20.4173|2.5226|2862m|1.6073
