1.ID|2.DateObs|3.TimeObs|4.Filename|5.Object|6.RA_hhmmss|7.DEC_ddmmss|8.RA_deg|9.DEC_deg|10.RA_pix|11.Dec_pix|12.FilterName|13.JD|14.ExpTime_sec|15.Zmag|16.FWHM|17.Altitude|18.Airmass
1|2020-06-01|16:21:13|3C345-20200601@162112-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1199.3885|999.3642|R_Astrodon_2018|2459002.181400463|180.0|-9999.0000|-9999.0000|72.8786|1.0470
2|2020-06-01|16:24:24|3C345-20200601@162424-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1199.1919|997.8506|R_Astrodon_2018|2459002.1836111112|180.0|-9999.0000|-9999.0000|72.6656|1.0483
3|2020-06-01|16:46:30|3C371-20200601@164626-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1024.4372|1026.3025|R_Astrodon_2018|2459002.198958333|180.0|21.1300|2.1416|43.3643|1.4580
4|2020-06-01|16:49:45|3C371-20200601@164945-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1024.7267|1028.8110|R_Astrodon_2018|2459002.201215278|180.0|21.1368|2.3539|43.4147|1.4567
5|2020-06-01|15:32:45|4C29-45-20200601@153241-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1296.3370|993.1476|R_Astrodon_2018|2459002.1477430556|180.0|-9999.0000|-9999.0000|32.4036|1.8850
6|2020-06-01|15:35:57|4C29-45-20200601@153556-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1297.4616|995.0804|R_Astrodon_2018|2459002.149965278|180.0|-9999.0000|-9999.0000|31.7161|1.9221
7|2020-06-01|16:14:28|4C38-41-20200601@161427-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1194.3561|992.9208|R_Astrodon_2018|2459002.176712963|180.0|-9999.0000|-9999.0000|74.3836|1.0390
8|2020-06-01|16:17:40|4C38-41-20200601@161739-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1194.6218|991.5980|R_Astrodon_2018|2459002.178935185|180.0|-9999.0000|-9999.0000|74.1352|1.0404
9|2020-06-01|16:36:19|4C51-37-20200601@163618-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|323.4676|1226.9930|R_Astrodon_2018|2459002.191886574|180.0|-9999.0000|-9999.0000|61.0601|1.1416
10|2020-06-01|16:42:04|4C51-37-20200601@164159-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1022.4100|1028.3024|R_Astrodon_2018|2459002.19587963|180.0|21.3779|2.1674|61.1730|1.1423
11|2020-06-01|17:02:22|CTA102-20200601@170218-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1023.1387|1022.7971|R_Astrodon_2018|2459002.209976852|180.0|20.7047|2.4932|21.8810|2.6033
12|2020-06-01|16:07:28|DA406-20200601@160728-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1185.6739|973.2302|R_Astrodon_2018|2459002.171851852|180.0|-9999.0000|-9999.0000|76.1972|1.0310
13|2020-06-01|16:10:40|DA406-20200601@161039-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1185.2530|972.8434|R_Astrodon_2018|2459002.1740740743|180.0|-9999.0000|-9999.0000|75.7473|1.0331
14|2020-06-01|16:00:18|KS1510-08-20200601@160018-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|1055.6180|987.5730|R_Astrodon_2018|2459002.166875|180.0|-9999.0000|-9999.0000|50.2335|1.3065
15|2020-06-01|16:03:30|KS1510-08-20200601@160329-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|1057.3380|988.4993|R_Astrodon_2018|2459002.1690972224|180.0|-9999.0000|-9999.0000|49.7785|1.3155
16|2020-06-01|16:54:34|L-Lacertae-20200601@165430-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1020.5272|1023.8966|R_Astrodon_2018|2459002.2045601853|180.0|21.0783|2.2597|33.3004|1.7966
17|2020-06-01|16:57:49|L-Lacertae-20200601@165749-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1019.7233|1022.6408|R_Astrodon_2018|2459002.2068171296|180.0|21.2001|2.1668|33.9027|1.7691
18|2020-06-01|15:18:58|Mkn421-20200601@151854-R_Astrodon_2018_calib.fits|Mkn421|11 04 27.30|+38 12 32.0|166.1137|38.2089|1021.1275|1026.1949|R_Astrodon_2018|2459002.138171296|180.0|-9999.0000|-9999.0000|25.5955|2.3366
19|2020-06-01|15:22:10|Mkn421-20200601@152209-R_Astrodon_2018_calib.fits|Mkn421|11 04 27.30|+38 12 32.0|166.1137|38.2089|1022.5459|1027.4756|R_Astrodon_2018|2459002.1403935184|180.0|-9999.0000|-9999.0000|24.9765|2.3913
20|2020-06-01|16:27:56|Mkn501-20200601@162756-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1196.7496|1002.0220|R_Astrodon_2018|2459002.1860648147|180.0|-9999.0000|-9999.0000|73.1677|1.0452
21|2020-06-01|16:31:08|Mkn501-20200601@163108-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1197.4902|1000.7069|R_Astrodon_2018|2459002.188287037|180.0|-9999.0000|-9999.0000|72.9846|1.0464
22|2020-06-01|15:39:32|ON231-20200601@153932-R_Astrodon_2018_calib.fits|ON231|12 21 31.70|+28 13 59.0|185.3821|28.2331|1282.0980|984.9649|R_Astrodon_2018|2459002.152453704|180.0|-9999.0000|-9999.0000|35.5004|1.7384
23|2020-06-01|15:42:44|ON231-20200601@154243-R_Astrodon_2018_calib.fits|ON231|12 21 31.70|+28 13 59.0|185.3821|28.2331|1283.0791|987.3114|R_Astrodon_2018|2459002.154675926|180.0|-9999.0000|-9999.0000|34.8046|1.7692
24|2020-06-02|16:58:31|3C345-20200602@165827-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1020.9763|1021.0048|R_Astrodon_2018|2459003.207303241|180.0|20.5319|2.0196|68.5911|1.0767
